220917-043321,7.01
220917-073315,6.99
220917-103315,7.02
220917-143338,6.96
220917-164428,7.03
220917-193858,7.14
220917-193852,7.14
220917-193914,7.14
220917-195942,7.12
220917-203324,7.13
220917-204126,7.14
220917-204932,7.14
220917-211529,7.11
220917-214440,7.12
220917-215939,7.12
220917-224126,7.13
220917-224929,7.14
220917-231532,7.15
220917-234449,7.12
220918-091704,7.0
220918-101113,7.01
220919-095558,6.22
220919-125602,6.28
220919-155602,6.39
220919-182237,6.35
220919-185558,6.36
220919-202231,6.29
220919-215007,6.37
220919-233259,6.38
220920-023301,6.35
220920-053301,6.28
220920-083301,6.3
220920-094019,6.32
220920-101011,6.3
220920-131009,6.32
220920-144123,6.3
220920-145611,6.3
220920-162228,6.24
220920-164123,6.26
220920-175415,6.36
220920-182228,6.35
220920-184131,6.34
220920-202239,6.3
220920-204133,6.28
220920-234206,6.28
220921-024206,6.32
220921-054206,6.35
220921-084206,6.24
220921-103535,6.31
220921-103611,6.3
220921-103720,6.31
220921-103734,6.31
220921-103805,6.32
220921-103827,6.32
220921-103849,6.32
220921-104453,6.32
220921-104959,6.32
220921-124148,6.35
220921-134601,6.38
220921-144032,6.45
220921-144124,6.46
220921-154044,6.4
220921-184046,6.4
220921-214046,6.4
220922-004048,6.15
220922-034048,6.26
220922-064049,6.38
220922-094048,6.42
220922-132653,6.51
220922-144123,6.54
220922-164124,6.49
220922-184125,6.49
220923-095616,6.63
220923-124124,6.54
220923-125621,6.51
220923-155620,6.46
220923-185620,6.47
220923-215620,6.5
220924-005620,6.65
220924-093050,6.63
220925-163344,6.44
220925-205657,6.45
220925-221519,6.45
220925-222404,6.42
220925-224130,6.42
220926-011524,6.4
220926-041524,6.51
220926-102404,6.53
220926-104124,6.58
220926-121309,6.56
220926-121610,6.56
220926-121747,6.58
220926-122403,6.58
220926-144750,6.67
220926-145335,6.67
220926-151750,6.66
220926-162405,6.73
220926-164127,6.7
220926-165336,6.74
220926-182403,6.73
220926-202403,6.79
220926-204147,6.75
220927-095734,7.0
220927-111337,6.95
220927-141340,6.99
220927-194501,6.56
220927-195039,6.55
220927-201340,6.57
220927-202402,6.54
220927-204123,6.62
220927-212434,6.62
220927-215039,6.61
220927-231340,6.62
220928-021340,6.68
220928-051340,6.55
220928-081340,6.59
220927-171340,6.97
220928-111340,6.52
220928-115041,6.59
220928-122403,6.61
220928-141340,6.6
220928-171340,6.65
220928-172256,6.66
220928-175052,6.63
220928-182408,6.61
220928-184127,6.6
220928-185340,6.6
220928-192303,6.58
220928-195043,6.56
220928-202412,6.59
220928-204130,6.59
220928-205337,6.59
220928-212303,6.61
220929-084832,6.63
220929-114846,6.64
220929-132304,6.65
220929-162309,6.49
220929-185317,6.55
220929-205319,6.48
220930-072700,6.56
220930-072821,6.56
220930-091315,6.57
220930-103706,6.6
220930-133709,6.6
220930-172806,6.66
221001-153838,6.43
221001-165319,6.41
221001-173841,6.41
221001-220040,6.41
221001-220258,6.39
221002-120848,6.42
221002-122907,6.36
221002-123535,6.37
221002-143732,6.35
221002-185315,6.38
221002-185405,6.38
221002-193841,6.39
221002-205316,6.39
221002-205359,6.39
221002-213838,6.43
221002-225315,6.43
221002-225358,6.43
221002-233837,6.4
221003-095849,6.35
221003-125853,6.43
221003-135042,6.43
221003-135136,6.43
221003-230313,6.49
221004-092339,6.52
221004-094037,6.53
221004-094454,6.52
221004-100031,6.53
221004-130034,6.49
221004-155023,6.54
221004-160034,6.52
221004-165320,6.51
221004-173842,6.48
221004-175010,6.49
221004-200229,6.46
221004-215433,6.5
221005-100053,6.47
221005-130057,6.44
221005-144123,6.39
221005-160057,6.4
221005-164124,6.4
221006-093628,6.51
221006-123634,6.51
221006-153633,6.55
221006-171723,6.5
221006-223709,6.5
221006-235813,6.46
221007-005926,6.47
221007-010856,6.46
221007-012256,6.47
221007-021710,6.49
221007-100010,6.51
221007-130014,6.51
221007-170000,6.47
221007-182512,6.41
221007-182929,6.42
221007-184124,6.44
221007-202930,6.44
221007-204126,6.47
221007-212516,6.47
221008-002516,6.51
221008-032517,6.57
221008-062515,6.54
221008-092516,6.54
221008-122516,6.52
221008-152515,6.51
221008-182515,6.5
221010-124028,6.55
221010-154027,6.56
221011-093219,6.37
221011-093754,6.38
221011-123757,6.38
221011-153757,6.37
221011-205945,6.37
221011-235948,6.36
221012-094703,6.4
221012-115335,6.41
221012-133421,6.4
221012-163424,6.39
221012-193424,6.36
221012-223424,6.34
221013-083404,6.26
221013-121522,6.08
221013-135415,6.03
221013-145620,6.06
221013-164544,6.08
221013-171441,6.1
221013-181734,6.14
221013-183021,6.13
221013-213802,6.27
221014-094817,6.36
221014-120926,6.39
221014-125934,6.38
221014-155947,6.38
221014-173138,6.28
221015-214756,6.25
221016-105223,6.34
221016-135227,6.33
221016-165227,6.34
221016-183017,6.32
221016-185754,6.33
221017-081543,6.36
221017-111548,6.35
221017-115451,6.37
221017-145454,6.39
221017-172442,6.32
221017-183159,6.32
221017-200223,6.31
221017-230229,6.35
221018-020228,6.38
221018-050228,6.35
221018-080228,6.34
221018-110228,6.27
221018-140228,6.32
221018-162235,6.23
221018-192241,6.23
221018-200223,6.18
221018-230429,6.23
221019-085723,6.21
221019-115730,6.24
221019-145730,6.25
221019-224257,6.37
221020-085855,6.24
221020-115900,6.25
221020-145900,6.24
221020-175900,6.22
221020-223048,6.0
221020-235212,6.02
221021-082729,5.99
221021-082928,5.99
221021-100638,5.94
221021-104241,5.96
221021-125036,5.99
221021-140209,5.99
221021-140659,6.0
221021-180254,5.93
221021-205700,5.96
221022-191229,5.89
221022-202825,5.91
221023-101058,5.94
221024-084523,5.92
221024-092036,5.93
221024-093249,5.93
221024-123254,6.0
221024-153254,5.89
221024-172400,5.95
221024-193836,5.96
221024-194420,5.97
221025-083601,6.01
221025-113606,6.04
221025-143606,6.04
221026-084934,6.52
221026-135647,6.45
221027-083035,6.51
221027-090657,6.45
221027-120702,6.43
221028-145714,6.49
221028-175714,6.58
221028-212004,6.58
